Mentions,Category,Reach,Weightage,Love Category,Love Negative,Love Positive,Trust Category,Trust Negative,Trust Positive,Affordability Category,Affordability Negative,Affordability Positive,Awareness Category,Awareness Negative,Awareness Positive
I’m an interior designer – how to make cheap Ikea furniture look expensive ...,C,0,0.25, ,,,,,,,1,,,,
I created my daughter a dream princess bedroom using bargains from IKEA and The Range & saved hundreds ...,C,381,0.25, ,,,,,,,,,,,
... IKEA's home deliveries will be fully electric by 2025: CEO ...,B,17894,0.5, ,,,,,,,,,,,
... Ikea’s new Dirigera intelligent home hub is coming soon ...,C,1736,0.25, ,,,,,,,,,,,1
"... IKEA's Home Deliveries Will Be Fully Electric by 2025, CEO Says - Latest Tweet by Reuters ...",A,8241,1, ,,,,,,,,,,,
... IKEA’s home deliveries will be fully electric by 2025 – CEO ...,C,78439,0.25, ,,,,,,,,,,,
Mallika Sinha joins IKEA as Public Relations Leader ...,B,318991,0.5, ,,,,,,,,,,,
"International Coffee Day discounts at Burger King, IKEA and more ...",C,28937069,0.25, ,,,,,, Affordability,,,,,
"International Coffee Day discounts at Burger King, IKEA and more ...",C,177613,0.25, ,,,,,, Affordability,,,,,
"International Coffee Day discounts at Burger King, IKEA and more ...",C,24907,0.25, ,,,,,, Affordability,,,,,
Disney India partners with Ikea for a fun cookery show- ‘Disney Delicious' ...,C,22925,0.25, ,,,,,,,,,,,
Disney India partners IKEA kitchen to launch new ten-part series ‘Disney Delicious’ ...,C,1464,0.25, ,,,,,,,,,,,1
Disney Delicious to be launched on brand’s YouTube and social media platforms in collaboration with IKEA ...,C,25907,0.25, ,,,,,,,,,,,
... ‘Innovative’ new IKEA store opening at Highpoint Shopping Centre ...,C,54938,0.25, ,,,,,,,,, Awareness,,1
... ‘Innovative’ new IKEA store opening at Highpoint Shopping Centre ...,C,21461,0.25, ,,,,,,,,, Awareness,,1
... Ikea shoppers can now collect their flat-pack furniture at Tesco supermarkets ...,C,43434,0.25, ,,,,,,,,,,,
... Ikea is shrinking its stores as food hall gets the boot ...,C,1470,0.25, ,,,,,,,,,,,
"... IKEA India has 3,000 part-time employees working as few as 2 days per week; here's how it manages ...",B,304346,0.5, ,,,,,,,,,,,
SECOND INFUSION OF RS 600 CRORE BY IKEA IN ITS INDIA ENTITY ...,C,13966,0.25, ,,,,,,,,,,,
Everything You Need To Know About Mumbai's First IKEA Big Blue Box ...,A,7155318,1,Love,,,,,,,,,,,1
... IKEA Infuses Rs 600 Cr into its India retail Subsidiary ...,C,6214,0.25, ,,,,,,,,,,,
... Ikea invests further Rs600 crore in India enterprise ...,C,206364,0.25, ,,,,,,,,,,,
... Ikea infuses  ₹600 crore in Indian business ...,A,28331,1, ,,,,,,,,,,,
... IKEA invests Rs 600 cr in India entity ...,C,7220,0.25, ,,,,,,,,,,,
... IKEA infuses Rs. 600 crore in India entity ...,C,923861,0.25, ,,,,,,,,,,,
... Ikea infuses Rs 600 crore in Indian business ...,C,3166,0.25, ,,,,,,,,,,,
... IKEA infuses Rs. 600 cr into India business ...,A,16847,1, ,,,,,,,,,,,
... Ikea infuses Rs 600 crore in Indian business ...,B,28331,0.5, ,,,,,,,,,,,
"Volvo Trucks, IKEA & Raben to Accelerate Zero Emission Transport ...",C,6214,0.25, ,,,,,,,,,,,
... Ikea India raises Rs 600 crore ...,C,381,0.25, ,,,,,,,,,,,
... IKEA India raises ₹600 crore to increase presence in country ...,B,189,0.5, ,,,,,,,,,,,
... Ikea infuses Rs 600 crore in Indian business ...,A,215444,1, ,,,,,,,,,,,
... Ikea infuses Rs 600 crore in Indian business ...,C,19781038,0.25, ,,,,,,,,,,,
... Ikea infuses Rs 600 crore in Indian business ...,A,5020,1, ,,,,,,,,,,,
... Ikea pumps additional Rs600 crore in India business ...,C,59776,0.25, ,,,,,,,,,,,
... IKEA has infused ₹600 crore in India entity ...,A,317,1, ,,,,,,,,,,,
... Ikea India raises Rs 600 crore ...,A,249359,1, ,,,,,,,,,,,
... Ikea invests additional Rs600 crore in India business ...,A,28331,1, ,,,,,,,,,,,
... IKEA infuses Rs 600 cr into its India retail subsidiary ...,C,85906,0.25, ,,,,,,,,,,,
Bengaluru’s IKEA store causing traffic woes? MLA raises concern in Assembly | Bengaluru ...,C,28331,0.25, ,,,,,,,,,,,
Bengaluru's IKEA store causing traffic woes? MLA raises concern in Assembly ...,A,221353,1, ,,,,,,,,,,,
"... IKEA lights up three iconic landmarks in India to celebrate its new brand positioning, Ghar Aa Jao ...",B,33725,0.5, ,,,,,,,,,,,1
Woman shares her budget girl’s party idea making a stylish sleepover with buys from Kmart and Ikea ...,C,37853,0.25, ,,1,,,1,,,,,,
Govt will address IKEA parking issue: Karnataka CM Basavaraj Bommai ...,A,83595,1, ,,,,,,,,,,,
... IKEA opts for synchronised projections to strengthen its customer connect ...,A,43434,1, ,,,,,,,,,,,
"Karnataka: Govt will address traffic congestion, parking issues in and around IKEA, says CM Basavaraj Bommai ...",A,381,1, ,,,,,,,,,,,
... IKEA lights up three landmarks in India to celebrate its new brand positioning ...,C,8161,0.25, ,,,,,,,,,,,1
... IKEA Lights Up Three Iconic Landmarks In India To Celebrate Its New Brand Positioning ...,B,578173,0.5, ,,,,,,,,,,,1
In conversation with IKEA India’s Anna Ohlin ...,A,5020,1, ,,,,,,,,,,,
"In conversation with IKEA, Amazon, Xiaomi on new campaigns ahead of festive season ...",A,879930,1, ,,,,,,,,,,,1
"Storyboard18: In conversation with IKEA, Amazon, Xiaomi on new campaigns ahead of festive season ...",A,3166,1, ,,,,,,,,,,,1
"From Colgate's candles to IKEA's pens, Anand Mahindra shares significant entrepreneurial lessons ...",C,876,0.25, ,,,,,,,,,,,
"From Colgate's candles to IKEA's pens, Anand Mahindra shares significant entrepreneurial lessons ...",A,1470,1, ,,,,,,,,,,,
The all-new IKEA campaign in Hyderabad aims to strengthen its connection with Indian customers ...,B,1614,0.5, ,1,,,1,,,,,,1,1
... IKEA S’pore warns post asking people to type ‘Done’ to get free sofas is a scam ...,C,1614,0.25, ,,,,,,,,,,,
Swedish House Mafia unveil collaboration with IKEA ...,C,17817213,0.25, ,,,,,,,,,,,
"... IKEA, SunPower Launch Home Solar Offering in California, USA ...",C,381,0.25, ,,,,,, Affordability,,,,,
... IKEA's Kavitha Rao Quits ...,B,381,0.5, ,,,,,,,,,,,
... IKEA India’s country commercial manager Kavitha Rao quits ...,B,3021,0.5, ,,,,,,,,,,,
Kavitha Rao moves on from IKEA India as Country Commercial Manager ...,C,22626,0.25, ,,,,,,,,,,,
... IKEA aims to build deeper connect with Indian shoppers ...,A,221353,1, ,,,,,,,,,,,
"Kavitha Rao, IKEA India’s country commercial manager, has stepped down ...",B,11914,0.5, ,,,,,,,,,,,
... Ikea’s Swedish House Mafia record player is actually going on sale next month ...,C,8241,0.25, ,,,,,, Affordability,,,,,
... Ikea’s Swedish House Mafia record player is actually going on sale next month ...,C,7065,0.25, ,,,,,, Affordability,,,,,
... Ikea’s Swedish House Mafia record player is actually going on sale next month ...,C,5020,0.25, ,,,,,, Affordability,,,,,
... Ikea’s Swedish House Mafia record player is actually going on sale next month ...,C,37265,0.25, ,,,,,, Affordability,,,,,
... Ikea’s Swedish House Mafia record player is actually going on sale next month ...,C,177613,0.25, ,,,,,, Affordability,,,,,
Swedish furniture company IKEA is launching a collection with Swedish House Mafia for music fans and creators ...,B,3166,0.5, ,,,,,,,,,,,
Swedish furniture company IKEA is launching a collection with Swedish House Mafia for music fans and creators ...,A,769,1, ,,,,,,,,,,,
... Ikea’s new pillow is the secret to gold ...,B,1325,0.5, ,,,,,,,,,,,1
Ghar aajao. Come home to IKEA ...,B,215,0.5, ,,,,,,,,,,,
... IKEA India rolls out new brand positioning ‘Ghar Aa Jao’ ...,B,5020,0.5, ,,,,,,,,,,,1
"Starbucks, Ikea partnering with EV charging entities to set up charging stations EV charging stations will be set up to increase ...",B,1050,0.5, ,,,,,,,,, Awareness,,
... IKEA India announces its new brand positioning ‘Ghar Aa Jao’ ...,C,43434,0.25, ,,,,,,,,,,,1
"Starbucks, Ikea are the new ‘gas stations’ for electric car drivers ...",C,40394,0.25, ,,,,,,,,,,,1
... IKEA India rolls out new brand positioning ‘Ghar Aa Jao’ ...,A,1614,1, ,,,,,,,,,,,1
... Ikea's stores invite consumers home ...,C,876,0.25, ,,,,,,,,,,,
... Ikea India invites people home in new campaign ...,B,26436,0.5, ,,,,,,,,,,,1
... IKEA India announces its new brand positioning Ghar Aa Jao ...,C,6214,0.25, ,,,,,,,,,,,1
... IKEA Strikes Emotional & Rational Connection With Customers ...,B,221353,0.5, ,,,,,,,,,,,
... IKEA India announces its new brand positioning ‘Ghar Aa Jao’ ...,C,4739314,0.25, ,,,,,,,,,,,1
... IKEA India declares its new brand positioning ‘Ghar Aa Jao’ ...,C,198,0.25, ,,,,,,,,,,,1
An interior designer shared 3 mistakes everyone makes when shopping at Ikea ...,B,17894,0.5, ,,,,,,,,,,,
An interior designer shared 3 mistakes everyone makes when shopping at Ikea ...,A,50311,1, ,,,,,,,,,,,
I’ve got two daughters who like different stuff but have to share a room…so I used a budget Ikea hack to give them space ...,C,0,0.25,Love,,,,,,,,,,,1
"... ‘Will not be intimidated & gaslighted,’ says Manipuri customer who accused IKEA of ‘racism’ ...",A,327584,1, ,,,,,,,,,,1,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store ...",C,0,0.25, ,1,,,1,,,,,,1,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store ...",C,407,0.25, ,1,,,1,,,,,,1,
"... IKEA Hyderabad: মণিপুরের মহিলার সঙ্গে 'বর্ণবিদ্বেষী' ব্যবহার, বিতর্কে হায়দ্রাবাদের নামী ফার্নিচার দোকান ...",B,13739,0.5, ,1,,,1,,,,,,1,
KTR Asks IKEA To Apologize.,C,0,0.25, ,,,,,,,,,,,
"... IKEA recall: 7,500 IKEA coffee makers might burst while brewing ...",C,0,0.25, ,,,,,,,,,,,
"... IKEA recall: 7,500 IKEA coffee makers might burst while brewing ...",C,5871,0.25, ,,,,,,,,,,,
... IKEA India faces backlash for clarification over ‘racism' at Hyderabad store ...,A,388,1, ,1,,,1,,,,,,1,
Minister KTR On Hyderabad IKEA: హైదరాబాద్‌ ఐకియాలో జాతి వివక్ష… మణిపూర్‌ మహిళను అవమానించిన సిబ్బంది.. కేటీఆర్ సీరియస్ యాక్షన్ ...,C,122,0.25, ,1,,,1,,,,,,1,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store ...",B,49476,0.5, ,1,,,1,,,,,,1,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store ...",B,6351345,0.5, ,1,,,1,,,,,,1,
Racism allegations at Ikea Hyderabad store; Telangana Minister terms it appalling ...,C,1599,0.25, ,1,,,1,,,,,,1,
... IKEA Owner- Ingka Group Buys 49% Stake in Swedish Wind Power Projects ...,C,4845,0.25, ,,1,,,1,,,,,,
"Racism row: IKEA claims checking must after billing, but Telangana minister K T Rama Rao says 'unacceptable' ...",A,358737,1, ,,,,,,,,,,,
... எனது மனைவியை மட்டும் சோதனை செய்தார்கள்.. IKEA மீது புகார் கூறிய பத்திரிகையாளர்!,B,73,0.5, ,,,,,,,,,,,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store ...",C,0,0.25, ,1,,,1,,,,,,1,
... எனது மனைவியை மட்டும் சோதனை செய்தார்கள்.. IKEA மீது புகார் கூறிய பத்திரிகையாளர்!,C,37615,0.25, ,,,,,,,,,,,
An IKEA manager who had to use vacation days to attend his brother's funeral fears he'll lose his job for posting on Reddit that his boss ...,A,507,1, ,,,,,,,,,,,
Racism allegations at Ikea Hyderabad store; Telangana min terms it ‘appalling’ ...,C,429494,0.25, ,1,,,1,,,,,,1,
"... IKEA Hyderabad Row: ‘Deeply Regret’, Company Issues Clarification After Customer Alleges ‘Racism’ at Store ...",A,5249807,1, ,1,,,1,,,,,,1,
... IKEA responds after customer alleges ‘racism’ at Hyderabad store says ‘deeply regret’ ...,C,28331,0.25, ,1,,,1,,,,,,1,
"... IKEA accused of racism at Hyderabad store, faces massive backlash ...",C,200658,0.25, ,1,,,1,,,,,,1,
"... IKEA Hyderabad accused of racism, Telangana minister calls it `apalling` – Details here ...",C,116560,0.25, ,1,,,1,,,,,,1,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store ...",C,3487,0.25, ,1,,,1,,,,,,1,
Racist treatment at IKEA: ఐకియాలో జాతివివక్ష.. క్షమాపణలు చెప్పాలన్న కేటీఆర్ ...,C,544328,0.25, ,,,,,,,,,,,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store ...",C,897456,0.25, ,1,,,1,,,,,,1,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store - Hyderabad News ...",B,9706893,0.5, ,1,,,1,,,,,,1,1
"... IKEA Hyderabad accused of racism, Telangana minister calls it 'apalling' - Details here ...",A,1049,1, ,1,,,1,,,,,,1,
"... \\'Deeply Regret\\', Says IKEA After Customer Alleges \\'racism\\' At Hyderabad Store ...",B,3129,0.5, ,1,,,1,,,,,,1,
"... ‘Deeply regret’, says IKEA after customer alleges ‘racism’ at Hyderabad store ...",C,876,0.25, ,1,,,1,,,,,,1,
"... ‘Deeply regret’, says IKEA after customer alleges ‘racism’ at Hyderabad store ...",A,1614,1, ,1,,,1,,,,,,1,
"... IKEA Hyderabad accused of racism, Telangana minister calls it ‘apalling’ – Particulars right here | Information ...",C,28937069,0.25, ,1,,,1,,,,,,1,
... ‘Staff came to defend racism’: IKEA Hyderabad lands in controversy – Details ...,C,26436,0.25, ,1,,,1,,,,,,1,
Telangana minister responds after racism allegations at Hyderabad Ikea store ...,A,16490,1, ,1,,,1,,,,,,1,
... IKEA responds after customer alleges ‘racism’ at Hyderabad store says deeply regret ...,C,2884,0.25, ,1,,,1,,,,,,1,
... IKEA responds after customer alleges ‘racism’ at Hyderabad store says ‘deeply regret’ ...,C,6214,0.25, ,1,,,1,,,,,,1,
... IKEA responds after customer alleges 'racism' at Hyderabad store says 'deeply regret' ...,A,2670573,1, ,1,,,1,,,,,,1,
Racist treatment at IKEA store in Hyderabad sparks outrage; retailer reacts after KTR's tweet [details] ...,B,5020,0.5, ,1,,,1,,,,,,1,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store ...",A,28556,1, ,1,,,1,,,,,,1,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store ...",C,876,0.25, ,1,,,1,,,,,,1,
"... 'Deeply regret', says IKEA after customer alleges 'racism' at Hyderabad store ...",C,1614,0.25, ,1,,,1,,,,,,1,
... IKEA Hyderabad store accused of racism; Telangana minister calls it 'appalling' ...,A,26436,1, ,1,,,1,,,,,,1,
... ‘I was the Only One Whose Items Were Checked’: Woman Accuses Ikea Hyderabad of Racism ...,B,37265,0.5, ,1,,,1,,,,,,1,
... IKEA Apologized to a Customer Who Alleged ‘Racism’ Behaviour by the Staff in Hyderabad ...,A,0,1, ,1,,,1,,,,,,1,
... 'Appalling:' Minister KTR on racism allegations at IKEA Hyderabad ...,A,208,1, ,1,,,1,,,,,,1,
... Ikea Hyderabad Store Accused Of Racism; Telangana Minister Terms It “Appalling” ...,C,1771,0.25, ,1,,,1,,,,,,1,
... Ikea Hyderabad store in racism row after Manipur woman frisked ...,A,28331,1, ,1,,,1,,,,,,1,
Racism at IKEA ...,B,35851,0.5, ,,,,,,,,,,,
"... IKEA स्टोर पर लगा रेसिज्म का आरोप, तेलंगाना मंत्री केटीआर ने कहा ‘यह भयावह है’ ...",A,11765,1, ,,,,,,,,,,,
"... IKEA's Hyderabad store accused of racism, Telangana minister says 'appalling' ...",C,22197753,0.25, ,1,,,1,,,,,,1,
... IKEA Responds To Customer On Racial Discrimination At The Store ...,C,19781038,0.25, ,,,,,,,,,,,
"... IKEA accused of racism at Hyderabad store, faces massive backlash ...",B,273783,0.5, ,1,,,1,,,,,,1,
... ‘I was the Only One Whose Items Were Checked’: Woman Accuses Ikea Hyderabad of Racism ...,A,5020,1, ,1,,,1,,,,,,1,
... IKEA Hyderabad accused of racism; Telangana Minister terms it “appalling” ...,B,5020,0.5, ,1,,,1,,,,,,1,
"Manipur woman accuses IKEA Hyderabad of racism; ‘appalling,’ says minister ...",B,17894,0.5, ,1,,,1,,,,,,1,
"... 'Racism' allegation Hits IKEA Hyderabad - 'Only My Wife, From Manipur, Got Frisked' ...",A,17817213,1, ,1,,,1,,,,,,1,
... Ikea Hyderabad store accused of racism; Telangana Minister terms it 'appalling' ...,A,83595,1, ,1,,,1,,,,,,1,
Customer from Manipur alleges racism at IKEA store in Hyderabad ...,B,83595,0.5, ,1,,,1,,,,,,1,
... Ikea Hyderabad in 'racism' row after Manipur woman frisked ...,A,327584,1, ,1,,,1,,,,,,1,
Racism row: IKEA staff only frisks Manipur woman in Hyderabad store ...,B,26436,0.5, ,1,,,1,,,,,,1,
Racism allegations at Ikea Hyderabad store; TS Minister terms it appalling ...,A,876,1, ,1,,,1,,,,,,1,
... 'Great show': Racism allegations at Ikea Hyderabad store ...,B,1614,0.5,Love,1,1,,1,1,,,,,1,1
"... IKEA Hyderabad Accused Of Racism Against Manipuri Customer, Store Responds After Public Outrage ...",B,15111,0.5, ,1,,,1,,,,,,1,
Racism allegations at Ikea Hyderabad store; Minister KTR says 'appalling' ...,A,78439,1, ,1,,,1,,,,,,1,
Racism allegations at Ikea Hyderabad store; Telangana Minister terms it appalling ...,A,5279,1, ,1,,,1,,,,,,1,
... IKEA Hyderabad Store: హవ్వా.. హైదరాబాద్ ఐకియా స్టోర్‌లో ఇలాంటి ఘటనా.. అసలేం జరిగిందంటే..,B,17817213,0.5, ,1,,,1,,,,,,1,
"... IKEA के हैदराबाद स्‍टोर पर लगा नस्‍लवाद का आरोप, मंत्री KTR ने कहा-भयावह ...",A,1516,1, ,,,,,,,,,,,
Racism allegations at Ikea Hyderabad store; Telangana Minister terms it 'appalling' ...,C,429494,0.25, ,1,,,1,,,,,,1,
"Journalist accuses IKEA Hyd of racism against Manipuri wife, company replies ...",B,8241,0.5, ,,,,,,,,,,,
Racism allegations at Ikea Hyderabad store; Telangana Minister terms it 'appalling' ...,B,8088714,0.5, ,1,,,1,,,,,,1,
Racism allegations at Ikea Hyderabad store; Telangana Minister terms it ‘appalling’ ...,A,7438703,1, ,1,,,1,,,,,,1,
"... IKEA accused of racism against Manipuri woman at Hyderabad store, KTR says ‘appalling’ ...",A,381,1, ,1,,,1,,,,,,1,
"... IKEA Hyderabad called out for racism, responds after outrage. Details here ...",A,5279,1, ,1,,,1,,,,,,1,
"... फर्नीचर विक्रेता कंपनी IKEA पर लगा नस्लवाद का आरोप, तेलंगाना के मंत्री ने कही ये बात, यहां समझिए पूरा मामला ...",A,381,1, ,,,,,,,,,,,
... IKEA: షాపింగ్‌కు వచ్చిన మహిళపై జాత్యంహకార వివక్ష.. క్షమాపణలు చెప్పిన ఐకియా ...,A,3166,1, ,,,,,,,,,,,
"... IKEA Hyderabad Accused Of Racism Against Manipuri Customer, Store Responds After Public Outrage ...",A,5842,1, ,1,,,1,,,,,,1,
KT Rama Rao asks IKEA to apologise ...,C,381,0.25, ,,,,,,,,,,,
... Ikea's Hyderabad store accused of singling out Manipuri shopper for checking ...,B,876,0.5, ,1,,,1,,,,,,1,
"... IKEA Accused Of Racism At Hyderabad Store, Minister KTR Says “Appalling” ...",C,26436,0.25, ,1,,,1,,,,,,1,
"... IKEA Accused Of Racism At Hyderabad Store, Telangana Minister KTR Says 'Appalling' ...",A,1771,1, ,1,,,1,,,,,,1,
... 'Appalling': Telangana minister KTR as couple alleges racism at Ikea store ...,A,1050,1, ,,,,,,,,,,,
"Educate, sensitise, and train staff, says KT Rama Rao over IKEA's incident at Hyderabad store ...",A,28331,1, ,1,,,1,,,,,,1,
... Ikea's Hyderabad store accused of singling out Manipuri shopper for checking ...,A,11765,1, ,1,,,1,,,,,,1,
KT Rama Rao asks IKEA to apologise ...,A,210110,1, ,,,,,,,,,,,
"... IKEA Accused Of Racism At Hyderabad Store, Minister KTR Says Appalling ...",A,14593,1, ,1,,,1,,,,,,1,
... IKEA’s Response After Racism Charge At Hyderabad Store ...,C,55751,0.25, ,1,,,1,,,,,,1,
"Hyderabad: Absolutely unacceptable, says KTR on IKEA incident ...",A,279300,1, ,1,,,1,,,,,,1,
This Manipuri Lady Was Racially Discriminated Against At IKEA By Other Indians. Shameful ...,A,5020,1, ,,,,,,,,,,,
Racist treatment at IKEA: ఐకియాలో జాతివివక్ష.. క్షమాపణలు చెప్పాలన్న కేటీఆర్ ...,A,43434,1, ,,,,,,,,,,,
... IKEA staff in Hyderabad accused of racism against customer from Manipur ...,A,0,1, ,1,,,1,,,,,,1,
"... IKEA Hyderabad accused of racism against Manipuri woman, responds after outrage ...",A,6214,1, ,1,,,1,,,,,,1,
Hyderabad: Asaduddin Owaisi slams IKEA after accusation of racism ...,C,0,0.25, ,1,,,1,,,,,,1,
Assadine Owaisi slams IKEA after racist accusation ...,C,17894,0.25, ,,,,,,,,,,,
Asaduddin Owaisi slams IKEA after accusation of racism ...,C,1614,0.25, ,,,,,,,,,,,
Hyderabad: Asaduddin Owaisi slams IKEA after accusation of racism ...,A,26436,1, ,1,,,1,,,,,,1,
Hyderabad: IKEA accused of racism against woman from Manipur ...,C,876,0.25, ,1,,,1,,,,,,1,
... IKEA in Hyderabad accused of racism against woman from Manipur ...,B,208,0.5, ,1,,,1,,,,,,1,
Hyderabad: IKEA accused of racism against woman from Manipur ...,C,5020,0.25, ,1,,,1,,,,,,1,
... IKEA accused of racism against woman from Manipur ...,C,5669829,0.25, ,,,,,,,,,,,
Hyderabad: IKEA accused of racism against woman from Manipur ...,A,3021,1, ,1,,,1,,,,,,1,
Hyderabad: IKEA responds after accusations of discrimination ...,A,313307,1, ,1,,,1,,,,,,1,
... IKEA brings back its iconic 9-day festival; starts August 26 ...,C,18223,0.25, ,,,,,,,,,,,
BoKlok Company part-owned by Ikea to build 140 homes ...,C,7438703,0.25, ,,,,,,,,,,,
I’m a home decor fanatic – my top picks from Wayfair and IKEA make small spaces look bigger ...,C,2333900,0.25, ,,,,,,,,,,,1
... Ikea Will Open Small Outlets Across India: Use Website/Apps To Sell Products Directly To Customers ...,B,4832,0.5, ,,,,,,,,, Awareness,,
The end of IKEA instructions? 3D-printed wood can morph into chairs ...,C,24907,0.25, ,,,,,,,,,,,
... IKEA நிறுவனத்தின் வேற லெவல் திட்டம்... வாடிக்கையாளர்களுக்கு இனி கொண்டாட்டம்!,B,25907,0.5, ,,,,,,,,,,,
... IKEA நிறுவனத்தின் வேற லெவல் திட்டம்... வாடிக்கையாளர்களுக்கு இனி கொண்டாட்டம்!,C,22925,0.25, ,,,,,,,,,,,
"... Ikea’s new strategy of outlets, stores, and web soon in India ...",C,54938,0.25, ,,,,,,,,,,,1
... Ikea to open small city outlets in India ...,C,1464,0.25, ,,,,,,,,, Awareness,,
... చిన్న పట్టణాల్లో ఔట్‌లెట్లను ప్రారంభించనున్న IKEA!,B,21461,0.5, ,,,,,,,,,,,
Furniture company Ikea is planning to open its stores in small cities of India with online business ...,C,1988679,0.25, ,,,,,,,,, Awareness,,
... IKEA Eyes to Open Small City Outlets Along with Mega Formats in India ...,C,43434,0.25, ,,,,,,,,, Awareness,,
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,C,279300,0.25, ,,,,,,,,, Awareness,,
Behind Ikea's 'small' and 'mega' strategy for India ...,C,279300,0.25, ,,,,,,,,,,,
Cancel long drives for Ikea as it plans reaching the neighborhood to connect to people ...,C,299,0.25, ,,,,,,,,,,,
"Furniture retailer Ikea plans to open small outlets, and megastores in India supported by online sales ...",A,876,1, ,,,,,, Affordability,,, Awareness,,
... IKEA to Open Small City Outlets in India ...,C,1614,0.25, ,,,,,,,,, Awareness,,
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,A,26436,1, ,,,,,,,,, Awareness,,
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,B,28331,0.5, ,,,,,,,,, Awareness,,
... Ikea to open small city outlets along with mega formats in India supported by online channel | Company News ...,C,215,0.25, ,,,,,,,,, Awareness,,1
... Ikea to open small city outlets along with mega formats in India ...,C,221353,0.25, ,,,,,,,,, Awareness,,
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,A,50214602,1, ,,,,,,,,, Awareness,,
"... IKEA will Launch Small City Stores and Large Formats in India, With the Use of an Internet Channel.",B,429494,0.5, ,,,,,,,,,,,
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,B,279300,0.5, ,,,,,,,,, Awareness,,
... Ikea to open small city outlets along with mega formats in India ...,C,5020,0.25, ,,,,,,,,, Awareness,,
... Ikea to open small city outlets along with mega formats in India ...,A,313307,1, ,,,,,,,,, Awareness,,
... IKEA to open small outlets along with mega stores in India ...,B,19923269,0.5, ,,,,,,,,, Awareness,,
... IKEA अब भारत में ऑनलाइन मौजूदगी के साथ छोटे शहरों तक भी पहुंचने की योजना में ...,B,525,0.5, ,,,,,,,,,,,
"... Ikea’s new technique: Small retailers, mega shops, on-line channel quickly in India ...",C,894798,0.25, ,,,,,,,,,,,1
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,A,3021,1, ,,,,,,,,, Awareness,,
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,B,296,0.5, ,,,,,,,,, Awareness,,
"... Ikea’s new strategy: Small outlets, mega stores, online channel soon in India ...",C,8241,0.25, ,,,,,,,,,,,1
Cancel long drives for Ikea as it plans reaching the neighborhood to connect to people ...,A,8241,1, ,,,,,,,,,,,
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,A,2192240,1, ,,,,,,,,, Awareness,,
"... Ikea's new strategy: Small outlets, mega stores, online channel soon in India ...",A,769,1, ,,,,,,,,,,,1
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,C,1027984,0.25, ,,,,,,,,, Awareness,,
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,C,429494,0.25, ,,,,,,,,, Awareness,,
... Ikea to open small city outlets along with mega formats in India supported by online channel ...,A,2333900,1, ,,,,,,,,, Awareness,,
Latest News | Ikea to Open Small City Outlets Along with Mega Formats in India Supported by Online Channel ...,A,5249807,1, ,,,,,,,,, Awareness,,1
... IKEA to open small city outlets along with mega formats in India supported by online channel ...,B,923861,0.5, ,,,,,,,,, Awareness,,
How to make a guitar out of IKEA furniture: Brussels woodworker video goes ‘viral’ ...,C,28331,0.25, ,,,,,,,,,,,
"... IKEA Hyderabad fined ₹6,000 for charging customer ₹20 for carry bag ...",B,4913,0.5, ,1,,,1,,,,,,1,
... IKEA fined ₹6K for charging ₹20 for carry bags with logo ...,A,771,1, ,,,,,,,,,,,
... IKEA fined ₹6K for charging ₹20 for carry bags with logo ...,C,178942,0.25, ,,,,,,,,,,,
"... IKEA told to refund ₹20, ₹1,000 compensation to customer for charging carry bag ...",A,4550425,1, ,,,,,,,,,,,
... IKEA asked to pay Rs 6K for charging Rs 20 on carry bag ...,C,776013,0.25, ,,,,,,,,,,,
Hyderabad: IKEA asked to pay Rs 6K for charging Rs 20 on carry bag ...,A,5840,1, ,1,,,1,,,,,,1,
"... IKEA Hyderabad fined Rs 6,000 for charging Rs 20 on carry bag ...",A,894642,1, ,1,,,1,,,,,,1,
"... IKEA Hyderabad fined Rs 6,000 for charging Rs 20 on carry bag ...",C,25222395,0.25, ,1,,,1,,,,,,1,
... IKEA Hyderabad fined Rs 6000 for making customer pay for carry bag ...,A,9265,1, ,1,,,1,,,,,,1,
CM breaks ground for IKEA centre in Ggm ...,C,211,0.25, ,,,,,,,,,,,
